mode,seed,best_val_acc,best_epoch,time_sec
baseline,1,0.607,17,1088.16
baseline,42,0.607,17,1087.92
baseline,123,0.607,17,1091.86
baseline,456,0.607,17,1164.92
baseline,789,0.607,17,1188.05
monitor_only,1,0.604,23,1084.57
monitor_only,42,0.604,23,1121.01
monitor_only,123,0.604,23,1150.23
monitor_only,456,0.604,23,1160.15
monitor_only,789,0.604,23,1259.72
controller_only,1,0.615,25,1124.65
controller_only,42,0.615,25,1142.08
controller_only,123,0.615,25,1165.48
controller_only,456,0.615,25,1210.22
controller_only,789,0.615,25,1218.96
full_adaptive,1,0.606,25,1220.3
full_adaptive,42,0.606,25,1207.17
full_adaptive,123,0.606,25,1108.45
full_adaptive,456,0.606,25,1157.82
full_adaptive,789,0.606,25,1137.0
